SLNO,NAME,CODE,YCODE
1,20 Microns Limited,20MICRONS,20MICRONS.NS
2,21st Century Management Services Limited,21STCENMGM,21STCENMGM.NS
3,3i Infotech Limited,3IINFOTECH,3IINFOTECH.NS
4,3M India Limited,3MINDIA,3MINDIA.NS
5,3P Land Holdings Limited,3PLAND,3PLAND.NS
6,5Paisa Capital Limited,5PAISA,5PAISA.NS
7,63 moons technologies limited,63MOONS,63MOONS.NS
8,A2Z Infra Engineering Limited,A2ZINFRA,A2ZINFRA.NS
9,Aarti Drugs Limited,AARTIDRUGS,AARTIDRUGS.NS
10,Aarti Industries Limited,AARTIIND,AARTIIND.NS
11,Aarvee Denims & Exports Limited,AARVEEDEN,AARVEEDEN.NS
12,Aavas Financiers Limited,AAVAS,AAVAS.NS
13,Aban Offshore Limited,ABAN,ABAN.NS
14,ABB India Limited,ABB,ABB.NS
15,Abbott India Limited,ABBOTINDIA,ABBOTINDIA.NS
16,Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL.NS
17,Aditya Birla Fashion and Retail Limited,ABFRL,ABFRL.NS
18,ABM International Limited,ABMINTLTD,ABMINTLTD.NS
19,ACC Limited,ACC,ACC.NS
20,Accelya Solutions India Limited,ACCELYA,ACCELYA.NS
21,Action Construction Equipment Limited,ACE,ACE.NS
22,Adani Enterprises Limited,ADANIENT,ADANIENT.NS
23,Adani Gas Limited,ADANIGAS,ADANIGAS.NS
24,Adani Green Energy Limited,ADANIGREEN,ADANIGREEN.NS
25,Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS.NS
26,Adani Power Limited,ADANIPOWER,ADANIPOWER.NS
27,Adani Transmission Limited,ADANITRANS,ADANITRANS.NS
28,ADF Foods Limited,ADFFOODS,ADFFOODS.NS
29,Adhunik Metaliks Limited,ADHUNIK,ADHUNIK.NS
30,Adhunik Industries Limited,ADHUNIKIND,ADHUNIKIND.NS
31,Adlabs Entertainment Limited,ADLABS,ADLABS.NS
32,Ador Welding Limited,ADORWELD,ADORWELD.NS
33,Adroit Infotech Limited,ADROITINFO,ADROITINFO.NS
34,Allied Digital Services Limited,ADSL,ADSL.NS
35,Advani Hotels & Resorts (India) Limited,ADVANIHOTR,ADVANIHOTR.NS
36,Advanced Enzyme Technologies Limited,ADVENZYMES,ADVENZYMES.NS
37,Aegis Logistics Limited,AEGISCHEM,AEGISCHEM.NS
38,Affle (India) Limited,AFFLE,AFFLE.NS
39,Agarwal Industrial Corporation Limited,AGARIND,AGARIND.NS
40,AGC Networks Limited,AGCNET,AGCNET.NS
41,Agri-Tech (India) Limited,AGRITECH,AGRITECH.NS
42,Agro Phos India Limited,AGROPHOS,AGROPHOS.NS
43,Asian Hotels (East) Limited,AHLEAST,AHLEAST.NS
44,Ahluwalia Contracts (India) Limited,AHLUCONT,AHLUCONT.NS
45,Asian Hotels (West) Limited,AHLWEST,AHLWEST.NS
46,AIA Engineering Limited,AIAENG,AIAENG.NS
47,Monnet Ispat & Energy Limited,AIONJSW,AIONJSW.NS
48,Airan Limited,AIRAN,AIRAN.NS
49,Ajanta Pharma Limited,AJANTPHARM,AJANTPHARM.NS
50,Ajmera Realty & Infra India Limited,AJMERA,AJMERA.NS
51,Akash Infra-Projects Limited,AKASH,AKASH.NS
52,AksharChem India Limited,AKSHARCHEM,AKSHARCHEM.NS
53,Aksh Optifibre Limited,AKSHOPTFBR,AKSHOPTFBR.NS
54,Akzo Nobel India Limited,AKZOINDIA,AKZOINDIA.NS
55,Alankit Limited,ALANKIT,ALANKIT.NS
56,Albert David Limited,ALBERTDAVD,ALBERTDAVD.NS
57,Allahabad Bank,ALBK,ALBK.NS
58,Alchemist Limited,ALCHEM,ALCHEM.NS
59,Alembic Limited,ALEMBICLTD,ALEMBICLTD.NS
60,Alicon Castalloy Limited,ALICON,ALICON.NS
61,Alkali Metals Limited,ALKALI,ALKALI.NS
62,Alkem Laboratories Limited,ALKEM,ALKEM.NS
63,Alkyl Amines Chemicals Limited,ALKYLAMINE,ALKYLAMINE.NS
64,Allcargo Logistics Limited,ALLCARGO,ALLCARGO.NS
65,Allsec Technologies Limited,ALLSEC,ALLSEC.NS
66,Almondz Global Securities Limited,ALMONDZ,ALMONDZ.NS
67,Alok Industries Limited,ALOKTEXT,ALOKTEXT.NS
68,Alpa Laboratories Limited,ALPA,ALPA.NS
69,Alphageo (India) Limited,ALPHAGEO,ALPHAGEO.NS
70,Alps Industries Limited,ALPSINDUS,ALPSINDUS.NS
71,Amara Raja Batteries Limited,AMARAJABAT,AMARAJABAT.NS
72,Amber Enterprises India Limited,AMBER,AMBER.NS
73,Ambika Cotton Mills Limited,AMBIKCO,AMBIKCO.NS
74,Ambuja Cements Limited,AMBUJACEM,AMBUJACEM.NS
75,AMD Industries Limited,AMDIND,AMDIND.NS
76,Amj Land Holdings Limited,AMJLAND,AMJLAND.NS
77,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN.NS
78,Anant Raj Limited,ANANTRAJ,ANANTRAJ.NS
79,Andhra Bank,ANDHRABANK,ANDHRABANK.NS
80,Andhra Cements Limited,ANDHRACEMT,ANDHRACEMT.NS
81,The Andhra Sugars Limited,ANDHRSUGAR,ANDHRSUGAR.NS
82,Anik Industries Limited,ANIKINDS,ANIKINDS.NS
83,Ankit Metal & Power Limited,ANKITMETAL,ANKITMETAL.NS
84,Ansal Properties & Infrastructure Limited,ANSALAPI,ANSALAPI.NS
85,Ansal Housing Limited,ANSALHSG,ANSALHSG.NS
86,Antarctica Limited,ANTGRAPHIC,ANTGRAPHIC.NS
87,The Anup Engineering Limited,ANUP,ANUP.NS
88,Apar Industries Limited,APARINDS,APARINDS.NS
89,Anjani Portland Cement Limited,APCL,APCL.NS
90,Apcotex Industries Limited,APCOTEXIND,APCOTEXIND.NS
91,Apex Frozen Foods Limited,APEX,APEX.NS
92,APL Apollo Tubes Limited,APLAPOLLO,APLAPOLLO.NS
93,Alembic Pharmaceuticals Limited,APLLTD,APLLTD.NS
94,Apollo Micro Systems Limited,APOLLO,APOLLO.NS
95,Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP.NS
96,Apollo Pipes Limited,APOLLOPIPE,APOLLOPIPE.NS
97,Apollo Tyres Limited,APOLLOTYRE,APOLLOTYRE.NS
98,Apollo Sindoori Hotels Limited,APOLSINHOT,APOLSINHOT.NS
99,Aptech Limited,APTECHT,APTECHT.NS
100,Archidply Industries Limited,ARCHIDPLY,ARCHIDPLY.NS
101,Archies Limited,ARCHIES,ARCHIES.NS
102,Arcotech Limited,ARCOTECH,ARCOTECH.NS
103,Rajdarshan Industries Limited,ARENTERP,ARENTERP.NS
104,Aries Agro Limited,ARIES,ARIES.NS
105,Arihant Foundations & Housing Limited,ARIHANT,ARIHANT.NS
106,Arihant Superstructures Limited,ARIHANTSUP,ARIHANTSUP.NS
107,Arman Financial Services Limited,ARMANFIN,ARMANFIN.NS
108,Aro Granite Industries Limited,AROGRANITE,AROGRANITE.NS
109,Arrow Greentech Limited,ARROWGREEN,ARROWGREEN.NS
110,Arrow Textiles Limited,ARROWTEX,ARROWTEX.NS
111,Arshiya Limited,ARSHIYA,ARSHIYA.NS
112,ARSS Infrastructure Projects Limited,ARSSINFRA,ARSSINFRA.NS
113,Arvind Limited,ARVIND,ARVIND.NS
114,Arvind Fashions Limited,ARVINDFASN,ARVINDFASN.NS
115,Arvind SmartSpaces Limited,ARVSMART,ARVSMART.NS
116,Asahi India Glass Limited,ASAHIINDIA,ASAHIINDIA.NS
117,Asahi Songwon Colors Limited,ASAHISONG,ASAHISONG.NS
118,Automotive Stampings and Assemblies Limited,ASAL,ASAL.NS
119,Ashapura Minechem Limited,ASHAPURMIN,ASHAPURMIN.NS
120,Ashiana Housing Limited,ASHIANA,ASHIANA.NS
121,Ashima Limited,ASHIMASYN,ASHIMASYN.NS
122,Ashoka Buildcon Limited,ASHOKA,ASHOKA.NS
123,Ashok Leyland Limited,ASHOKLEY,ASHOKLEY.NS
124,Asian Hotels (North) Limited,ASIANHOTNR,ASIANHOTNR.NS
125,Asian Paints Limited,ASIANPAINT,ASIANPAINT.NS
126,Asian Granito India Limited,ASIANTILES,ASIANTILES.NS
127,Aspinwall and Company Limited,ASPINWALL,ASPINWALL.NS
128,Astec LifeSciences Limited,ASTEC,ASTEC.NS
129,Aster DM Healthcare Limited,ASTERDM,ASTERDM.NS
130,Astral Poly Technik Limited,ASTRAL,ASTRAL.NS
131,Astra Microwave Products Limited,ASTRAMICRO,ASTRAMICRO.NS
132,AstraZeneca Pharma India Limited,ASTRAZEN,ASTRAZEN.NS
133,Astron Paper & Board Mill Limited,ASTRON,ASTRON.NS
134,Agro Tech Foods Limited,ATFL,ATFL.NS
135,Atlanta  Limited,ATLANTA,ATLANTA.NS
136,Atlas Cycles (Haryana) Limited,ATLASCYCLE,ATLASCYCLE.NS
137,Atul Limited,ATUL,ATUL.NS
138,Atul Auto Limited,ATULAUTO,ATULAUTO.NS
139,AU Small Finance Bank Limited,AUBANK,AUBANK.NS
140,Aurionpro Solutions Limited,AURIONPRO,AURIONPRO.NS
141,Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA.NS
142,Ausom Enterprise Limited,AUSOMENT,AUSOMENT.NS
143,Automotive Axles Limited,AUTOAXLES,AUTOAXLES.NS
144,Autoline Industries Limited,AUTOIND,AUTOIND.NS
145,Autolite (India) Limited,AUTOLITIND,AUTOLITIND.NS
146,Avadh Sugar & Energy Limited,AVADHSUGAR,AVADHSUGAR.NS
147,Avanti Feeds Limited,AVANTIFEED,AVANTIFEED.NS
148,AVT Natural Products Limited,AVTNPL,AVTNPL.NS
149,Axis Bank Limited,AXISBANK,AXISBANK.NS
150,AXISCADES Engineering Technologies Limited,AXISCADES,AXISCADES.NS
151,AYM Syntex Limited,AYMSYNTEX,AYMSYNTEX.NS
152,B.A.G Films and Media Limited,BAGFILMS,BAGFILMS.NS
153,Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO.NS
154,Bajaj Consumer Care Limited,BAJAJCON,BAJAJCON.NS
155,Bajaj Electricals Limited,BAJAJELEC,BAJAJELEC.NS
156,Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV.NS
157,Bajaj Hindusthan Sugar Limited,BAJAJHIND,BAJAJHIND.NS
158,Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJHLDNG.NS
159,Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.NS
160,Balaji Telefilms Limited,BALAJITELE,BALAJITELE.NS
161,Balaji Amines Limited,BALAMINES,BALAMINES.NS
162,Balaxi Ventures Limited,BALAXI,BALAXI.NS
163,Balkrishna Paper Mills Limited,BALKRISHNA,BALKRISHNA.NS
164,Balkrishna Industries Limited,BALKRISIND,BALKRISIND.NS
165,Ballarpur Industries Limited,BALLARPUR,BALLARPUR.NS
166,Balmer Lawrie & Company Limited,BALMLAWRIE,BALMLAWRIE.NS
167,Bal Pharma Limited,BALPHARMA,BALPHARMA.NS
168,Balrampur Chini Mills Limited,BALRAMCHIN,BALRAMCHIN.NS
169,Banaras Beads Limited,BANARBEADS,BANARBEADS.NS
170,Bannari Amman Sugars Limited,BANARISUG,BANARISUG.NS
171,Banco Products (I) Limited,BANCOINDIA,BANCOINDIA.NS
172,Bandhan Bank Limited,BANDHANBNK,BANDHANBNK.NS
173,Bang Overseas Limited,BANG,BANG.NS
174,Bank of Baroda,BANKBARODA,BANKBARODA.NS
175,Bank of India,BANKINDIA,BANKINDIA.NS
176,Banswara Syntex Limited,BANSWRAS,BANSWRAS.NS
177,Bartronics India Limited,BARTRONICS,BARTRONICS.NS
178,BASF India Limited,BASF,BASF.NS
179,Bannari Amman Spinning Mills Limited,BASML,BASML.NS
180,Bata India Limited,BATAINDIA,BATAINDIA.NS
181,Bayer Cropscience Limited,BAYERCROP,BAYERCROP.NS
182,Bharat Bijlee Limited,BBL,BBL.NS
183,Bombay Burmah Trading Corporation Limited,BBTC,BBTC.NS
184,Brightcom Group Limited,BCG,BCG.NS
185,B.C. Power Controls Ltd,BCP,BCP.NS
186,Bharat Dynamics Limited,BDL,BDL.NS
187,Beardsell Limited,BEARDSELL,BEARDSELL.NS
188,Bedmutha Industries Limited,BEDMUTHA,BEDMUTHA.NS
189,Bharat Electronics Limited,BEL,BEL.NS
190,BEML Limited,BEML,BEML.NS
191,Bhansali Engineering Polymers Limited,BEPL,BEPL.NS
192,Berger Paints (I) Limited,BERGEPAINT,BERGEPAINT.NS
193,BF Investment Limited,BFINVEST,BFINVEST.NS
194,BF Utilities Limited,BFUTILITIE,BFUTILITIE.NS
195,Bharatiya Global Infomedia Limited,BGLOBAL,BGLOBAL.NS
196,BGR Energy Systems Limited,BGRENERGY,BGRENERGY.NS
197,Bhageria Industries Limited,BHAGERIA,BHAGERIA.NS
198,Bhagyanagar India Limited,BHAGYANGR,BHAGYANGR.NS
199,Bhagyanagar Properties Limited,BHAGYAPROP,BHAGYAPROP.NS
200,Bhandari Hosiery Exports Limited,BHANDARI,BHANDARI.NS
201,Bharat Forge Limited,BHARATFORG,BHARATFORG.NS
202,Bharat Gears Limited,BHARATGEAR,BHARATGEAR.NS
203,Bharat Rasayan Limited,BHARATRAS,BHARATRAS.NS
204,Bharat Wire Ropes Limited,BHARATWIRE,BHARATWIRE.NS
205,Bharti Airtel Limited,BHARTIARTL,BHARTIARTL.NS
206,Bharat Heavy Electricals Limited,BHEL,BHEL.NS
207,Bigbloc Construction Limited,BIGBLOC,BIGBLOC.NS
208,Bhartiya International Limited,BIL,BIL.NS
209,Bil Energy Systems Limited,BILENERGY,BILENERGY.NS
210,Oswal Chemicals & Fertilizers Limited,BINDALAGRO,BINDALAGRO.NS
211,Biocon Limited,BIOCON,BIOCON.NS
212,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,BIOFILCHEM.NS
213,Birla Cable Limited,BIRLACABLE,BIRLACABLE.NS
214,Birla Corporation Limited,BIRLACORPN,BIRLACORPN.NS
215,Aditya Birla Money Limited,BIRLAMONEY,BIRLAMONEY.NS
216,Bkm Industries Limited,BKMINDST,BKMINDST.NS
217,BLB Limited,BLBLIMITED,BLBLIMITED.NS
218,Bliss GVS Pharma Limited,BLISSGVS,BLISSGVS.NS
219,B. L. Kashyap and Sons Limited,BLKASHYAP,BLKASHYAP.NS
220,BLS International Services Limited,BLS,BLS.NS
221,Blue Blends (I) Limited,BLUEBLENDS,BLUEBLENDS.NS
222,Blue Coast Hotels Limited,BLUECOAST,BLUECOAST.NS
223,Blue Dart Express Limited,BLUEDART,BLUEDART.NS
224,Blue Star Limited,BLUESTARCO,BLUESTARCO.NS
225,Bodal Chemicals Limited,BODALCHEM,BODALCHEM.NS
226,Bombay Dyeing & Mfg Company Limited,BOMDYEING,BOMDYEING.NS
227,Borosil Glass Works Limited,BOROSIL,BOROSIL.NS
228,Bosch Limited,BOSCHLTD,BOSCHLTD.NS
229,Bharat Petroleum Corporation Limited,BPCL,BPCL.NS
230,BPL Limited,BPL,BPL.NS
231,Bombay Rayon Fashions Limited,BRFL,BRFL.NS
232,Brigade Enterprises Limited,BRIGADE,BRIGADE.NS
233,Britannia Industries Limited,BRITANNIA,BRITANNIA.NS
234,Bharat Road Network Limited,BRNL,BRNL.NS
235,Brooks Laboratories Limited,BROOKS,BROOKS.NS
236,BSE Limited,BSE,BSE.NS
237,BSEL Infrastructure Realty Limited,BSELINFRA,BSELINFRA.NS
238,BSL Limited,BSL,BSL.NS
239,BIRLASOFT LIMITED,BSOFT,BSOFT.NS
240,Burnpur Cement Limited,BURNPUR,BURNPUR.NS
241,Butterfly Gandhimathi Appliances Limited,BUTTERFLY,BUTTERFLY.NS
242,Barak Valley Cements Limited,BVCL,BVCL.NS
243,The Byke Hospitality Ltd,BYKE,BYKE.NS
244,Cadila Healthcare Limited,CADILAHC,CADILAHC.NS
245,California Software Company Limited,CALSOFT,CALSOFT.NS
246,Camlin Fine Sciences Limited,CAMLINFINE,CAMLINFINE.NS
247,Canara Bank,CANBK,CANBK.NS
248,C & C Constructions Limited,CANDC,CANDC.NS
249,Can Fin Homes Limited,CANFINHOME,CANFINHOME.NS
250,Cantabil Retail India Limited,CANTABIL,CANTABIL.NS
251,Capacit e Infraprojects Limited,CAPACITE,CAPACITE.NS
252,Caplin Point Laboratories Limited,CAPLIPOINT,CAPLIPOINT.NS
253,Capital Trust Limited,CAPTRUST,CAPTRUST.NS
254,Carborundum Universal Limited,CARBORUNIV,CARBORUNIV.NS
255,Career Point Limited,CAREERP,CAREERP.NS
256,CARE Ratings Limited,CARERATING,CARERATING.NS
257,Castex Technologies Limited,CASTEXTECH,CASTEXTECH.NS
258,Castrol India Limited,CASTROLIND,CASTROLIND.NS
259,Country Club Hospitality & Holidays Limited,CCHHL,CCHHL.NS
260,CCL Products (India) Limited,CCL,CCL.NS
261,Central Depository Services (India) Limited,CDSL,CDSL.NS
262,CEAT Limited,CEATLTD,CEATLTD.NS
263,Commercial Engineers & Body Builders Co Limited,CEBBCO,CEBBCO.NS
264,Celebrity Fashions Limited,CELEBRITY,CELEBRITY.NS
265,Celestial Biolabs Limited,CELESTIAL,CELESTIAL.NS
266,Century Enka Limited,CENTENKA,CENTENKA.NS
267,Century Extrusions Limited,CENTEXT,CENTEXT.NS
268,Central Bank of India,CENTRALBK,CENTRALBK.NS
269,Centrum Capital Limited,CENTRUM,CENTRUM.NS
270,Centum Electronics Limited,CENTUM,CENTUM.NS
271,Century Plyboards (India) Limited,CENTURYPLY,CENTURYPLY.NS
272,Century Textiles & Industries Limited,CENTURYTEX,CENTURYTEX.NS
273,Cera Sanitaryware Limited,CERA,CERA.NS
274,Cerebra Integrated Technologies Limited,CEREBRAINT,CEREBRAINT.NS
275,CESC Limited,CESC,CESC.NS
276,CESC Ventures Limited,CESCVENT,CESCVENT.NS
277,Capri Global Capital Limited,CGCL,CGCL.NS
278,CG Power and Industrial Solutions Limited,CGPOWER,CGPOWER.NS
279,Chalet Hotels Limited,CHALET,CHALET.NS
280,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,CHAMBLFERT.NS
281,Chemfab Alkalis Limited,CHEMFAB,CHEMFAB.NS
282,Chennai Petroleum Corporation Limited,CHENNPETRO,CHENNPETRO.NS
283,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,CHOLAFIN.NS
284,Cholamandalam Financial Holdings Limited,CHOLAHLDNG,CHOLAHLDNG.NS
285,Chromatic India Limited,CHROMATIC,CHROMATIC.NS
286,Cigniti Technologies Limited,CIGNITITEC,CIGNITITEC.NS
287,Cimmco Limited,CIMMCO,CIMMCO.NS
288,Cineline India Limited,CINELINE,CINELINE.NS
289,Cinevista Limited,CINEVISTA,CINEVISTA.NS
290,Cipla Limited,CIPLA,CIPLA.NS
291,Cox & Kings Financial Service Limited,CKFSL,CKFSL.NS
292,CL Educate Limited,CLEDUCATE,CLEDUCATE.NS
293,Clariant Chemicals (India) Limited,CLNINDIA,CLNINDIA.NS
294,CMI Limited,CMICABLES,CMICABLES.NS
295,CIL Nova Petrochemicals Limited,CNOVAPETRO,CNOVAPETRO.NS
296,Coal India Limited,COALINDIA,COALINDIA.NS
297,Cochin Shipyard Limited,COCHINSHIP,COCHINSHIP.NS
298,Coffee Day Enterprises Limited,COFFEEDAY,COFFEEDAY.NS
299,Colgate Palmolive (India) Limited,COLPAL,COLPAL.NS
300,Compuage Infocom Limited,COMPINFO,COMPINFO.NS
301,Compucom Software Limited,COMPUSOFT,COMPUSOFT.NS
302,Container Corporation of India Limited,CONCOR,CONCOR.NS
303,Confidence Petroleum India Limited,CONFIPET,CONFIPET.NS
304,Consolidated Finvest & Holdings Limited,CONSOFINVT,CONSOFINVT.NS
305,Control Print Limited,CONTROLPR,CONTROLPR.NS
306,Coral India Finance & Housing Limited,CORALFINAC,CORALFINAC.NS
307,Cords Cable Industries Limited,CORDSCABLE,CORDSCABLE.NS
308,Coromandel International Limited,COROMANDEL,COROMANDEL.NS
309,Corporation Bank,CORPBANK,CORPBANK.NS
310,Cosmo Films Limited,COSMOFILMS,COSMOFILMS.NS
311,Country Condo s Limited,COUNCODOS,COUNCODOS.NS
312,Cox & Kings Limited,COX&KINGS,COX&KINGS.NS
313,Creative Peripherals and Distribution Limited,CREATIVE,CREATIVE.NS
314,Creative Eye Limited,CREATIVEYE,CREATIVEYE.NS
315,CREDITACCESS GRAMEEN LIMITED,CREDITACC,CREDITACC.NS
316,Crest Ventures Limited,CREST,CREST.NS
317,CRISIL Limited,CRISIL,CRISIL.NS
318,Crompton Greaves Consumer Electricals Limited,CROMPTON,CROMPTON.NS
319,Cambridge Technology Enterprises Limited,CTE,CTE.NS
320,City Union Bank Limited,CUB,CUB.NS
321,Cubex Tubings Limited,CUBEXTUB,CUBEXTUB.NS
322,Cummins India Limited,CUMMINSIND,CUMMINSIND.NS
323,Cupid Limited,CUPID,CUPID.NS
324,Cura Technologies Limited,CURATECH,CURATECH.NS
325,Cyber Media (India) Limited,CYBERMEDIA,CYBERMEDIA.NS
326,Cybertech Systems And Software Limited,CYBERTECH,CYBERTECH.NS
327,Cyient Limited,CYIENT,CYIENT.NS
328,LT Foods Limited,DAAWAT,DAAWAT.NS
329,Dabur India Limited,DABUR,DABUR.NS
330,Dalmia Bharat Limited,DALBHARAT,DALBHARAT.NS
331,Dalmia Bharat Sugar and Industries Limited,DALMIASUG,DALMIASUG.NS
